step,action,details
1,Create GA property,Go to https://analytics.google.com and create a GA4 property and Web data stream.
2,Copy Measurement ID,Copy the ID like G-FEWPRZQBH9 from Web stream details.
3,Set local env var,In .env.local set NEXT_PUBLIC_GA_ID=G-FEWPRZQBH9.
4,Ensure script in layout,Keep GA Script tags in app/layout.tsx inside <head>.
5,Set Netlify env var,In Netlify set NEXT_PUBLIC_GA_ID with exact value G-FEWPRZQBH9.
6,Redeploy Netlify,Go to Deploys and trigger a fresh deploy because env vars apply at build time.
7,Visit live site,Open https://skarademo.netlify.app and browse pages for 1 to 2 minutes.
8,Check Realtime report,In GA open Reports > Realtime and confirm active user/events.
9,Network verification if needed,In browser DevTools Network verify gtag/js and g/collect requests are present.
10,Production confirmation,When Realtime data appears setup is complete and warning banner will clear later.
